XMIN,XMAX,YMIN,YMAX,can_cover,layer,path,top,right,bottom,id,plot_id,57DAS_DAS,fid,left,top_2,right_2,bottom_2,id_2,plot_id_2,25-Jan,,DAS,leaf_angle_DAS,DAS,VLADF_DAS,,Height,leaf_angle_height,VLADF_height,Height,VLADF_height_rounded,,,Height,Leaf_Angle_Height,VLADF_Height,,leaf_angle_DAS,VLADF_DAS,,VLADF (av),,leaf_angle (av),leaf_angle (av in radians),LAI
78.39882364,78.39883261,17.32425862,17.32426758,0.895195313,farm1000,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",17.32428468,78.39886365,17.32423168,13,2,101,13,78.39880965,17.32428468,78.39886365,17.32423168,13,2,183.4,,23,33,23,1.7,,0.1,31,1.3,0.1,1.3,,,1.8,27.45602789,2.8,,31.29165804,2.43,,2.615,,29.37384297,0.512876623,4.770742977
78.39883266,78.39884163,17.32425862,17.32426758,0.974140625,farm1001,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",17.32428468,78.39886365,17.32423168,13,2,101,13,78.39880965,17.32428468,78.39886365,17.32423168,13,2,183.4,,24,33,24,1.7,,0.2,31,1.6,0.2,1.6,,,1.8,27.45602789,2.8,,31.29165804,2.43,,2.615,,29.37384297,0.512876623,5.191464344
78.39884163,78.3988506,17.32425862,17.32426758,0.971796875,farm1002,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",17.32428468,78.39886365,17.32423168,13,2,101,13,78.39880965,17.32428468,78.39886365,17.32423168,13,2,183.4,,25,33,25,1.7,,0.3,31,1.8,0.3,1.8,,,1.8,27.45602789,2.8,,31.29165804,2.43,,2.615,,29.37384297,0.512876623,5.178973853
78.3988506,78.39885957,17.32425862,17.32426758,0.892578125,farm1003,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",17.32428468,78.39886365,17.32423168,13,2,101,13,78.39880965,17.32428468,78.39886365,17.32423168,13,2,183.4,,26,33,26,1.7,,0.4,31,1.725,0.4,1.7,,,1.8,27.45602789,2.8,,31.29165804,2.43,,2.615,,29.37384297,0.512876623,4.756795262
78.39885962,78.39886859,17.32425862,17.32426758,0.747460938,farm1004,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",17.32428468,78.39891765,17.32423168,20,3,101,13,78.39880965,17.32428468,78.39886365,17.32423168,13,2,183.4,,27,33,27,1.7,,0.5,31,1.7055,0.5,1.7,,,1.8,27.45602789,2.8,,31.29165804,2.43,,2.615,,29.37384297,0.512876623,3.983425704
78.39885962,78.39886859,17.32425862,17.32426758,0.747460938,farm1004,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",17.32428468,78.39886365,17.32423168,13,2,101,20,78.39886365,17.32428468,78.39891765,17.32423168,20,3,216.2,,28,33,28,1.71,,0.6,31.82200004,1.686,0.6,1.7,,,2.2,24.31048019,3.1,,31.29165804,2.43,,2.765,,27.80106912,0.485415492,4.429567653
78.39885962,78.39886859,17.32425862,17.32426758,0.747460938,farm1004,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",17.32428468,78.39886365,17.32423168,13,2,101,13,78.39880965,17.32428468,78.39886365,17.32423168,13,2,183.4,,29,33,29,1.72,,0.7,31.57929809,1.6665,0.7,1.7,,,1.8,27.45602789,2.8,,31.29165804,2.43,,2.615,,29.37384297,0.512876623,3.983425704
78.39885962,78.39886859,17.32425862,17.32426758,0.747460938,farm1004,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",17.32428468,78.39891765,17.32423168,20,3,101,20,78.39886365,17.32428468,78.39891765,17.32423168,20,3,216.2,,30,33,30,1.725,,0.8,31.33559615,1.647,0.8,1.6,,,2.2,24.31048019,3.1,,31.29165804,2.43,,2.765,,27.80106912,0.485415492,4.429567653
78.39886859,78.39887756,17.32425862,17.32426758,0.632578125,farm1005,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",17.32428468,78.39891765,17.32423168,20,3,101,20,78.39886365,17.32428468,78.39891765,17.32423168,20,3,216.2,,31,33,31,1.716,,0.9,31.92589421,1.6275,0.9,1.6,,,2.2,24.31048019,3.1,,31.29165804,2.43,,2.765,,27.80106912,0.485415492,3.748754564
78.39887762,78.39888658,17.32425862,17.32426758,0.848007813,farm1006,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",17.32428468,78.39891765,17.32423168,20,3,101,20,78.39886365,17.32428468,78.39891765,17.32423168,20,3,216.2,,32,33,32,1.707,,1,32.51619226,1.608,1,1.6,,,2.2,24.31048019,3.1,,31.29165804,2.43,,2.765,,27.80106912,0.485415492,5.025423788
78.39888658,78.39889555,17.32425862,17.32426758,0.868984375,farm1007,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",17.32428468,78.39891765,17.32423168,20,3,101,20,78.39886365,17.32428468,78.39891765,17.32423168,20,3,216.2,,33,33,33,1.698,,1.1,33.10649032,1.7555,1.1,1.8,,,2.2,24.31048019,3.1,,31.29165804,2.43,,2.765,,27.80106912,0.485415492,5.1497341
78.39889561,78.39890458,17.32425862,17.32426758,0.698476563,farm1008,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",17.32428468,78.39891765,17.32423168,20,3,101,20,78.39886365,17.32428468,78.39891765,17.32423168,20,3,216.2,,34,32.96614137,34,1.689,,1.2,33.2340942,1.903,1.2,1.9,,,2.2,24.31048019,3.1,,31.29165804,2.43,,2.765,,27.80106912,0.485415492,4.139278767
